Filename,Accuracy,Precision,Recall,F1,FP rate,FN rate,Macro
2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.wav,0.7043928639938615,0.8099547511312217,0.8040928375343149,0.8070131496556042,0.6268656716417911,0.19590716246568504,0.588613582946262
2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--4.wav,0.8721011946591708,0.9052996278711665,0.9522202726413821,0.9281673464017893,0.6536758193091231,0.0477797273586179,0.6492722266661295
2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--3.wav,0.863667072017295,0.9062181447502549,0.9210844413745467,0.9135908195598185,0.34285714285714286,0.07891555862545328,0.7891136492587019
2018/MIDI-Unprocessed_Recital16_MID--AUDIO_16_R1_2018_wav--3.wav,0.4711958680969408,0.8360323886639676,0.41403508771929826,0.5538048944016091,0.3103448275862069,0.5859649122807018,0.5518451300665457
2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_01_R1_2014_wav--2.wav,0.6282652377762894,0.7736742424242424,0.7210944395410415,0.7464595705801736,0.6638888888888889,0.27890556045895853,0.5286027753260762
2014/MIDI-UNPROCESSED_19-21_R3_2014_MID--AUDIO_21_R3_2014_wav--1.wav,0.4362965997541991,0.3784165881244109,0.9337209302325581,0.5385647216633132,0.8342820999367488,0.06627906976744186,0.5497194151479046
2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_01_R1_2014_wav--1.wav,0.803921568627451,0.6179540709812108,0.7728459530026109,0.6867749419953596,0.1841046277665996,0.22715404699738903,0.7943706626180056
2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--3.wav,0.7598591549295775,0.33170731707317075,0.6699507389162561,0.4437194127243067,0.22514379622021363,0.33004926108374383,0.7224034713480212
2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--5.wav,0.5203139427516159,0.5421412300683371,0.802021903959562,0.6469588854909957,0.8212461695607763,0.1979780960404381,0.4903878671993928
2014/MIDI-UNPROCESSED_11-13_R1_2014_MID--AUDIO_11_R1_2014_wav--1.wav,0.3782549109182275,0.22098765432098766,0.7833698030634574,0.3447279730380356,0.7286374133949192,0.21663019693654267,0.5273661948342692
2017/MIDI-Unprocessed_083_PIANO083_MID--AUDIO-split_07-09-17_Piano-e_2_-06_wav--1.wav,0.5664451827242525,0.5466012613875263,0.6627017841971113,0.5990783410138248,0.5255889520714866,0.3372982158028887,0.5685564160628124
2017/MIDI-Unprocessed_059_PIANO059_MID--AUDIO-split_07-07-17_Piano-e_2-03_wav--4.wav,0.7556526982212843,0.828353022932592,0.6790088293933352,0.7462826733448115,0.15818123599103426,0.32099117060666477,0.7604137967011504
2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_13_R2_2015_wav--4.wav,0.8190373341561247,0.882737169517885,0.7809576224545954,0.8287341217696014,0.13237359550561797,0.2190423775454045,0.8242920134744887
2014/MIDI-UNPROCESSED_11-13_R1_2014_MID--AUDIO_13_R1_2014_wav--6.wav,0.8083409996933456,0.8822033898305085,0.8898522408108438,0.8860113076782782,0.6104140526976161,0.11014775918915619,0.6397190940566139
2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--3.wav,0.8557529610829103,0.8833504624871531,0.9378068739770867,0.9097644879597776,0.4274952919020716,0.062193126022913256,0.7551557910375075
2017/MIDI-Unprocessed_075_PIANO075_MID--AUDIO-split_07-08-17_Piano-e_2-06_wav--3.wav,0.9030837004405287,0.9708933717579251,0.9250411861614497,0.9474128233970754,0.46543778801843316,0.07495881383855024,0.7298016990715083
2017/MIDI-Unprocessed_065_PIANO065_MID--AUDIO-split_07-07-17_Piano-e_3-01_wav--3.wav,0.7906890130353817,0.915861284820921,0.7955555555555556,0.8514799154334037,0.22424242424242424,0.20444444444444446,0.7856565656565657
2017/MIDI-Unprocessed_080_PIANO080_MID--AUDIO-split_07-09-17_Piano-e_1-06_wav--3.wav,0.7445944826443542,0.8569168823698591,0.7405244190381509,0.7944803679754683,0.24726640159045726,0.25947558096184914,0.7466290087238469
2017/MIDI-Unprocessed_072_PIANO072_MID--AUDIO-split_07-08-17_Piano-e_1-06_wav--2.wav,0.8181577554261514,0.7746376811594203,0.7397923875432526,0.7568141592920354,0.13330475782254608,0.2602076124567474,0.8032438148603533
2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_03_R2_2015_wav--1.wav,0.8704347826086957,0.9126984126984127,0.9378185524974516,0.9250879839115133,0.5207100591715976,0.06218144750254842,0.708554246662927
2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_06_R2_2015_wav--1.wav,0.8253164556962025,0.8987175271292338,0.897242284963887,0.8979793001478561,0.6051080550098232,0.10275771503611293,0.646067114977032
2015/MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_19_R2_2015_wav--3.wav,0.7210939615488763,0.8998080614203455,0.7529714102152265,0.819867086393844,0.45,0.24702858978477352,0.6514857051076133
2017/MIDI-Unprocessed_078_PIANO078_MID--AUDIO-split_07-09-17_Piano-e_1-02_wav--2.wav,0.6913552951580809,0.831342094782955,0.6821895424836601,0.7494166217914199,0.2894736842105263,0.31781045751633985,0.6963579291365669
