epoch,accuracy,loss,val_accuracy,val_loss
0,0.6779714,0.5964263215661049,0.5,1.5934487581253052
1,0.7568714,0.511346401487078,0.5095499753952026,1.3400397300720215
2,0.7744714,0.48244465621454374,0.515500009059906,1.521103858947754
3,0.7911286,0.45414412575108665,0.5750499963760376,0.9680178761482239
4,0.82207143,0.40421928273780006,0.5668500065803528,1.1980977058410645
5,0.8235,0.3986477059977395,0.5885999798774719,1.0040504932403564
6,0.8328,0.38110257812908716,0.5612999796867371,1.4190106391906738
7,0.8432,0.36327666544488496,0.6175000071525574,1.0873773097991943
8,0.8581143,0.33328374533780986,0.6934999823570251,0.8621835112571716
9,0.8723,0.3072291886700051,0.7106500267982483,0.7348853945732117
10,0.87454283,0.29932193234562876,0.698199987411499,0.6539594531059265
11,0.8641286,0.3215809678392751,0.7359499931335449,0.6281664967536926
12,0.8629714,0.32395156579358236,0.6881499886512756,0.7019644975662231
13,0.86902857,0.3131034863846643,0.7588000297546387,0.48933684825897217
14,0.86612856,0.31462990886398723,0.7193499803543091,0.6030890345573425
15,0.8786,0.2927667998841831,0.8500499725341797,0.29282376170158386
16,0.8938,0.2628145717084408,0.8451499938964844,0.33119478821754456
17,0.9013,0.24571400002709456,0.6914499998092651,0.7212968468666077
18,0.8881143,0.2744399676897696,0.739300012588501,0.5985414385795593
19,0.88154286,0.2880021354981831,0.6838499903678894,0.7417162656784058
20,0.89795715,0.25276001686496397,0.61285001039505,1.5790213346481323
21,0.89875716,0.2510879568755627,0.769599974155426,0.4797494113445282
22,0.90725714,0.2325519203607525,0.7259500026702881,0.647310733795166
23,0.90517145,0.23669951276055404,0.8618999719619751,0.2787376046180725
24,0.9115286,0.22539516304220472,0.8098000288009644,0.3536666929721832
25,0.9158857,0.21534470428845712,0.9136999845504761,0.17849387228488922
26,0.92242855,0.20177975052169392,0.9057000279426575,0.203236386179924
27,0.91905713,0.20613554199891432,0.8917999863624573,0.23643706738948822
28,0.9197571,0.20665878863739115,0.7682999968528748,0.5499122738838196
29,0.9286714,0.18861832810299736,0.9176999926567078,0.152202770113945
30,0.91251427,0.22558256047112601,0.9060999751091003,0.20573998987674713
31,0.92204285,0.20647992928113257,0.9159500002861023,0.20550280809402466
32,0.9212143,0.20445391051471234,0.6901000142097473,0.7588862180709839
33,0.9220286,0.20243414736219814,0.8264999985694885,0.36121368408203125
34,0.9196857,0.20804504161434514,0.8913999795913696,0.21758989989757538
35,0.92887145,0.1873597946816257,0.8432499766349792,0.31658586859703064
36,0.93177146,0.18001197057643106,0.8511999845504761,0.3004259169101715
37,0.9348,0.17366581670939923,0.9332000017166138,0.13764724135398865
38,0.9406143,0.16125559700386866,0.8532000184059143,0.37842607498168945
39,0.9368,0.16916524586933,0.9448000192642212,0.12128334492444992
40,0.9368714,0.17273516857198307,0.7434499859809875,0.5066311955451965
41,0.94115716,0.16011933253279753,0.9111999869346619,0.1717970222234726
42,0.94637144,0.14721421476985727,0.8256499767303467,0.40705472230911255
43,0.93787146,0.16682075003960303,0.895550012588501,0.18044203519821167
44,0.9488286,0.14343555930203625,0.8980000019073486,0.28411778807640076
45,0.95305717,0.1301358274982444,0.9218999743461609,0.22037427127361298
46,0.9575,0.12124196687447174,0.7844499945640564,0.8009991645812988
47,0.93794286,0.1674292538847242,0.8083000183105469,0.5550486445426941
48,0.94945717,0.13910137880593537,0.9376999735832214,0.16862978041172028
49,0.95272857,0.13152550073074443,0.899399995803833,0.21976187825202942
