epoch,accuracy,loss,val_accuracy,val_loss
0,0.65561426,0.6266078300774097,0.5034000277519226,1.1588134765625
1,0.7561,0.5073481151035854,0.5367500185966492,1.194927453994751
2,0.7795714,0.4718580973999841,0.503350019454956,1.5842070579528809
3,0.8069,0.4296382123870509,0.5087000131607056,1.6016325950622559
4,0.8259429,0.39611528079424585,0.5802000164985657,1.1005440950393677
5,0.80504286,0.4258914710155555,0.5270500183105469,1.5106911659240723
6,0.8189143,0.40201957800558635,0.6627500057220459,0.7151407599449158
7,0.8434143,0.3621990959559168,0.5688999891281128,0.9665300846099854
8,0.8270429,0.3889005427914006,0.6223000288009644,0.713359534740448
9,0.8306286,0.38134886122175626,0.6457499861717224,0.5570974349975586
10,0.83974284,0.364456677117518,0.5530499815940857,1.1482009887695312
11,0.8540286,0.3401633245604379,0.5674499869346619,0.9375482201576233
12,0.8535143,0.33838112450071745,0.8402500152587891,0.3543807566165924
13,0.87212855,0.30831773062901835,0.5382500290870667,1.3042998313903809
14,0.8717,0.308748802116939,0.604200005531311,0.8426937460899353
15,0.8822714,0.287043204584292,0.5401999950408936,1.2701462507247925
16,0.88745713,0.2786524563495602,0.63919997215271,0.7751852869987488
17,0.8923,0.2687554305685418,0.5557000041007996,1.460404872894287
18,0.8898571,0.27165399427924836,0.5906999707221985,1.2141704559326172
19,0.8907143,0.2701360422585692,0.8671500086784363,0.25788000226020813
20,0.89771426,0.2560867673052209,0.8598999977111816,0.31687936186790466
21,0.90404284,0.24195717610418796,0.7673500180244446,0.4038481116294861
22,0.90194285,0.24427773468196393,0.8341500163078308,0.3001309335231781
23,0.9018286,0.24712885304221086,0.7250999808311462,0.5476625561714172
24,0.9037857,0.24299363547137806,0.8510000109672546,0.2557394206523895
25,0.8985286,0.24953501086149896,0.5997499823570251,1.3199411630630493
26,0.8955714,0.25970281921327115,0.8823500275611877,0.21551871299743652
27,0.9051,0.2393254474337612,0.8730499744415283,0.24252599477767944
