epoch,accuracy,loss,val_accuracy,val_loss
0,0.72855717,0.5706162225455046,0.5471500158309937,1.1857032775878906
1,0.83262855,0.3821451716923288,0.8167499899864197,0.47884470224380493
2,0.8622429,0.328160153648683,0.7370499968528748,0.7426460385322571
3,0.8706286,0.31018495682094777,0.753350019454956,0.6414495706558228
4,0.8784,0.2958108154258558,0.7305499911308289,0.7115829586982727
5,0.8860286,0.27717097984360795,0.8550500273704529,0.4507000148296356
6,0.9007143,0.24863223221951297,0.8652999997138977,0.42199403047561646
7,0.8908,0.27090881844716413,0.8095499873161316,0.5615207552909851
8,0.9001,0.25147113624428,0.8842999935150146,0.4437308609485626
9,0.91148573,0.2268889956442373,0.828249990940094,0.6447662711143494
10,0.90815717,0.236685937749488,0.7596499919891357,0.7894123196601868
11,0.9149143,0.22038600074925593,0.8768500089645386,0.33939141035079956
12,0.9200714,0.21226065275924547,0.8640000224113464,0.4437582790851593
